directory	widget	family	phase	shell_kind	interaction_family	interaction_storytelling	interaction_source	interaction_outcome
button	button	content	1	box	click	source_driven	primary_widget	The button example should make the primary action feel live and explain the emitted click signal in reviewer-friendly language.
text	text	content	1	box	click	target_driven	shared_trigger	The text example should spotlight its authored copy and explain why the shared trigger exists for otherwise passive content.
text_input	text_input	input	1	box	change	source_driven	primary_widget	The text input example should mirror the live draft value and explain the emitted change signal clearly.
box	box	layout	2	box	click	target_driven	shared_trigger	The box example should make the authored layout container feel intentional and easy to review in the browser.
content	content	layout	2	box	click	target_driven	shared_trigger	The content example should make grouping and semantic containment obvious even before reading the underlying DSL.
icon	icon	content	2	box	click	target_driven	shared_trigger	The icon example should explain the authored glyph choice and make the visual emphasis obvious to reviewers.
image	image	content	2	box	click	target_driven	shared_trigger	The image example should make the media block feel intentional and show how passive visuals still participate in a meaningful interaction story.
label	label	content	2	box	click	target_driven	shared_trigger	The label example should make the authored label relationship easy to understand in the browser without inspecting source.
link	link	content	2	box	click	target_driven	shared_trigger	The link example should communicate the authored destination and make the navigation intent obvious before anyone follows it.
separator	separator	content	2	box	click	target_driven	shared_trigger	The separator example should explain the authored visual boundary and why it matters in the surrounding composition.
spacer	spacer	content	2	box	click	target_driven	shared_trigger	The spacer example should make invisible spacing choices easier to review through the shared interaction story.
checkbox	checkbox	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the checkbox example turns live form input into a browser-visible change outcome.
date_input	date_input	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the date input example turns live form input into a browser-visible change outcome.
field	field	forms	2	form_builder	change	source_driven	form_shell	The review panel should explain how the field example turns live form input into a browser-visible change outcome.
field_group	field_group	forms	2	form_builder	change	source_driven	form_shell	The review panel should explain how the field group example turns live form input into a browser-visible change outcome.
file_input	file_input	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the file input example turns live form input into a browser-visible change outcome.
form_builder	form_builder	forms	2	form_builder	change	source_driven	form_shell	The review panel should explain how the form builder example turns live form input into a browser-visible change outcome.
numeric_input	numeric_input	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the numeric input example turns live form input into a browser-visible change outcome.
pick_list	pick_list	input	2	form_builder	selection	source_driven	form_shell	The review panel should explain how the pick list example turns live form input into a browser-visible selection outcome.
radio_group	radio_group	input	2	form_builder	selection	source_driven	form_shell	The review panel should explain how the radio group example turns live form input into a browser-visible selection outcome.
select	select	input	2	form_builder	selection	source_driven	form_shell	The review panel should explain how the select example turns live form input into a browser-visible selection outcome.
time_input	time_input	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the time input example turns live form input into a browser-visible change outcome.
toggle	toggle	input	2	form_builder	change	source_driven	form_shell	The review panel should explain how the toggle example turns live form input into a browser-visible change outcome.
row	row	layout	3	box	click	target_driven	shared_trigger	The review panel should explain how the row example turns an authored canonical interaction into a browser-visible layout story.
column	column	layout	3	box	click	target_driven	shared_trigger	The review panel should explain how the column example turns an authored canonical interaction into a browser-visible layout story.
grid	grid	layout	3	box	click	target_driven	shared_trigger	The review panel should explain how the grid example turns an authored canonical interaction into a browser-visible layout story.
viewport	viewport	display	4	box	focus	target_driven	shared_trigger	The review panel should explain how the viewport example turns an authored canonical interaction into a browser-visible display-system story.
scroll_bar	scroll_bar	display	4	box	focus	target_driven	shared_trigger	The review panel should explain how the scroll bar example turns an authored canonical interaction into a browser-visible display-system story.
split_pane	split_pane	display	4	box	focus	target_driven	shared_trigger	The review panel should explain how the split pane example turns an authored canonical interaction into a browser-visible display-system story.
canvas	canvas	display	4	box	focus	target_driven	shared_trigger	The review panel should explain how the canvas example turns an authored canonical interaction into a browser-visible display-system story.
overlay	overlay	overlay	4	box	open	target_driven	shared_trigger	The review panel should explain how the overlay example turns an authored canonical interaction into a browser-visible overlay story.
